URL,Service Name,Number of Actions
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncloudwatchobservabilityaccessmanager.html,oam,15
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudwatchrum.html,rum,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncloudwatchsynthetics.html,synthetics,21
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodeartifact.html,codeartifact,41
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodebuild.html,codebuild,58
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodecatalyst.html,codecatalyst,30
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodecommit.html,codecommit,90
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodedeploy.html,codedeploy,47
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodedeploysecurehostcommandsservice.html,codedeploy-commands-secure,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodeguru.html,codeguru,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodeguruprofiler.html,codeguru-profiler,23
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodegurureviewer.html,codeguru-reviewer,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodegurusecurity.html,codeguru-security,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodepipeline.html,codepipeline,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodestar.html,codestar,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodestarconnections.html,codestar-connections,37
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscodestarnotifications.html,codestar-notifications,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncodewhisperer.html,codewhisperer,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncognitoidentity.html,cognito-identity,26
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncognitosync.html,cognito-sync,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncognitouserpools.html,cognito-idp,107
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncomprehend.html,comprehend,85
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoncomprehendmedical.html,comprehendmedical,25
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscomputeoptimizer.html,compute-optimizer,23
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsconfig.html,config,92
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonconnect.html,connect,247
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonconnectcases.html,cases,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonconnectcustomerprofiles.html,profile,52
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonconnectvoiceid.html,voiceid,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsconnectorservice.html,awsconnector,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsconsolemobileapp.html,consoleapp,2
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsconsolidatedbilling.html,consolidatedbilling,2
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscontroltower.html,controltower,62
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscostandusagereport.html,cur,12
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscostexplorerservice.html,ce,51
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscostoptimizationhub.html,cost-optimization-hub,7
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscustomerverificationservice.html,customer-verification,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdataexchange.html,dataexchange,32
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondatalifecyclemanager.html,dlm,8
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdatapipeline.html,datapipeline,21
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdatabasemigrationservice.html,dms,134
https://docs.aws.amazon.com/service-authorization/latest/reference/list_databasequerymetadataservice.html,dbqms,12
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdatasync.html,datasync,60
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondatazone.html,datazone,124
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdeepcomposer.html,deepcomposer,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdeeplens.html,deeplens,24
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdeepracer.html,deepracer,51
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondetective.html,detective,36
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdevicefarm.html,devicefarm,77
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondevopsguru.html,devops-guru,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdiagnostictools.html,ts,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdirectconnect.html,directconnect,63
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsdirectoryservice.html,ds,77
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondocumentdbelasticclusters.html,docdb-elastic,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondynamodb.html,dynamodb,66
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazondynamodbacceleratordax.html,dax,30
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html,ec2,631
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2autoscaling.html,autoscaling,65
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2imagebuilder.html,imagebuilder,73
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2instanceconnect.html,ec2-instance-connect,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoneksauth.html,eks-auth,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselasticbeanstalk.html,elasticbeanstalk,50
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticblockstore.html,ebs,6
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticcontainerregistry.html,ecr,48
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticcontainerregistrypublic.html,ecr-public,23
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticcontainerservice.html,ecs,58
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselasticdisasterrecovery.html,drs,90
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticfilesystem.html,elasticfilesystem,36
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticinference.html,elastic-inference,7
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelastickubernetesservice.html,eks,57
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselasticloadbalancing.html,elasticloadbalancing,28
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselasticloadbalancingv2.html,elasticloadbalancing,45
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticmapreduce.html,elasticmapreduce,82
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelastictranscoder.html,elastictranscoder,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonelasticache.html,elasticache,77
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalappliancesandsoftware.html,elemental-appliances-software,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalappliancesandsoftwareactivationservice.html,elemental-activations,10
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediaconnect.html,mediaconnect,54
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediaconvert.html,mediaconvert,28
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmedialive.html,medialive,65
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediapackage.html,mediapackage,19
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediapackagev2.html,mediapackagev2,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediapackagevod.html,mediapackage-vod,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediastore.html,mediastore,26
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalmediatailor.html,mediatailor,44
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalsupportcases.html,elemental-support-cases,5
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awselementalsupportcontent.html,elemental-support-content,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonemroneksemrcontainers.html,emr-containers,20
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonemrserverless.html,emr-serverless,16
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsentityresolution.html,entityresolution,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoneventbridge.html,events,58
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoneventbridgepipes.html,pipes,10
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoneventbridgescheduler.html,scheduler,12
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoneventbridgeschemas.html,schemas,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsfaultinjectionservice.html,fis,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonfinspace.html,finspace,58
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonfinspaceapi.html,finspace-api,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsfirewallmanager.html,fms,42
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonforecast.html,forecast,70
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonfrauddetector.html,frauddetector,74
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsfreetier.html,freetier,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonfreertos.html,freertos,20
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonfsx.html,fsx,53
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazongamelift.html,gamelift,104
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsglobalaccelerator.html,globalaccelerator,56
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsglue.html,glue,226
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsgluedatabrew.html,databrew,44
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsgroundstation.html,groundstation,33
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazongroundtruthlabeling.html,groundtruthlabeling,5
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonguardduty.html,guardduty,70
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awshealthapisandnotifications.html,health,14
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awshealthimaging.html,medical-imaging,18
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awshealthlake.html,healthlake,20
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awshealthomics.html,omics,82
https://docs.aws.amazon.com/service-authorization/latest/reference/list_high-volumeoutboundcommunications.html,connect-campaigns,22
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonhoneycode.html,honeycode,30
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiamaccessanalyzer.html,access-analyzer,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiamidentitycentersuccessortoawssinglesign-on.html,sso,126
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiamidentitycentersuccessortoawssinglesign-ondirectory.html,sso-directory,52
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiamidentitycenteroidcservice.html,sso-oauth,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsidentityandaccessmanagementiam.html,iam,171
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsidentityandaccessmanagementrolesanywhere.html,rolesanywhere,28
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsidentitystore.html,identitystore,19
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsidentitystoreauth.html,identitystore-auth,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsidentitysync.html,identity-sync,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsimportexportdiskservice.html,importexport,6
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoninspector.html,inspector,37
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoninspector2.html,inspector2,59
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoninspectorscan.html,inspector-scan,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoninteractivevideoservice.html,ivs,59
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazoninteractivevideoservicechat.html,ivschat,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsinvoicingservice.html,invoicing,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiot.html,iot,271
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiot1-click.html,iot1click,26
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotanalytics.html,iotanalytics,34
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotcoredeviceadvisor.html,iotdeviceadvisor,14
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotdevicetester.html,iot-device-tester,5
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotevents.html,iotevents,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotfleethubfordevicemanagement.html,iotfleethub,8
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotfleetwise.html,iotfleetwise,52
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotgreengrass.html,greengrass,93
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotgreengrassv2.html,greengrass,29
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotjobsdataplane.html,iotjobsdata,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotroborunner.html,iotroborunner,20
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotsitewise.html,iotsitewise,86
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiottwinmaker.html,iottwinmaker,40
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiotwireless.html,iotwireless,110
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiq.html,iq,63
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsiqpermissions.html,iq-permission,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkendra.html,kendra,66
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonkendraintelligentranking.html,kendra-ranking,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html,kms,52
